,time,amp
0.0,0.0,17
0.001,0.4578553761791679,17
0.002,0.910818959217532,17
0.003,1.3540543919397336,17
0.004,1.7828355575374408,17
0.005,2.192600128041716,17
0.006,2.579001246815801,17
0.007,2.937956756286219,17
0.008,3.2656954101092697,17
0.009,3.558799543341039,17
0.01,3.814243714550402,17
0.011,4.02942887972575,17
0.012,4.202211708754182,17
0.013,4.330928710616099,17
0.014,4.414414892607528,17
0.015,4.452016741202473,17
0.016,4.44359937688832,17
0.017,4.389547801710794,17
0.018,4.290762225594492,17
0.019,4.148647524993074,17
0.02,3.9650969543005328,17
0.021,3.742470295959328,17
0.022,3.483566698585832,17
0.023,3.19159251297615,17
0.024,2.870124492865764,17
0.025,2.5230687801447336,17
0.026,2.154616142274413,17
0.027,1.7691939723639885,17
0.028,1.3714155992588175,17
0.029,0.9660274856471484,17
0.03,0.557854916257694,17
0.031,0.1517467954236264,17
0.032,-0.2474798165672858,17
0.033,-0.6350947959472597,17
0.034,-1.006509048617468,17
0.035,-1.3573269872201563,17
0.036,-1.683396793811759,17
0.037,-1.9808578950642055,17
0.038,-2.246185108703089,17
0.039,-2.476228957842955,17
0.04,-2.6682516935689256,17
0.041,-2.8199586150422764,17
0.042,-2.929524330017678,17
0.043,-2.995613656340508,17
0.044,-3.017396926086576,17
0.045,-2.994559517817182,17
0.046,-2.92730550822251,17
0.047,-2.816355401465795,17
0.048,-2.662937962055397,17
0.049,-2.4687762442922283,17
0.05,-2.236067977499788,17
0.051,-1.9674605305892243,17
0.052,-1.666020741308733,17
0.053,-1.3351999540712232,17
0.054,-0.9787946648786888,17
0.055,-0.6009032219439836,17
0.056,-0.2058790755794514,17
0.057,0.2017188897353077,17
0.058,0.6171783749256615,17
0.059,1.0356874445385773,17
0.06,1.4523894505523702,17
0.061,1.8624384756605887,17
0.062,2.261054663980198,17
0.063,2.6435788084078187,17
0.064,3.0055255723112024,17
0.065,3.342634738800275,17
0.066,3.650919903295086,17
0.067,3.926714054241344,17
0.068,4.166711522285268,17
0.069,4.368005819604384,17
0.07,4.528122937927955,17
0.071,4.64504972553573,17
0.072,4.717257019607263,17
0.073,4.74371727006636,17
0.074,4.723916453845481,17
0.075,4.657860143567098,17
0.076,4.546073661261786,17
0.077,4.389596315156496,17
0.078,4.189969785002868,17
0.079,3.9492207881056594,17
0.08,3.669838223395628,17
0.081,3.3547450538260217,17
0.082,3.0072652473403334,17
0.083,2.6310861529773053,17
0.084,2.2302167407054427,17
0.085,1.8089421807207064,17
0.086,1.37177527965997,17
0.087,0.9234053270039076,17
0.088,0.4686449344580303,17
0.089,0.012375473972662,17
0.09,-0.4405082639679523,17
0.091,-0.8851535612738608,17
0.092,-1.3168047801839529,17
0.093,-1.7308572615047864,17
0.094,-2.1229094991033475,17
0.095,-2.488812996254379,17
0.096,-2.824719235868395,17
0.097,-3.127123229525973,17
0.098,-3.3929031492420285,17
0.099,-3.6193555905358847,17
0.1,-3.804226065180616,17
0.101,-3.9457343763800186,17
0.102,-4.042594587454514,17
0.103,-4.094029356743063,17
0.104,-4.099778475644338,17
0.105,-4.06010151279522,17
0.106,-3.975774534564701,17
0.107,-3.848080939561012,17
0.108,-3.678796511939464,17
0.109,-3.470168864193513,17
0.11,-3.224891504060592,17
0.111,-2.9460728214488032,17
0.112,-2.637200349191705,17
0.113,-2.302100705306536,17
0.114,-1.944895673652275,17
0.115,-1.5699549238964594,17
0.116,-1.1818459100028134,17
0.117,-0.7852815186079933,17
0.118,-0.3850660642992557,17
0.119,0.0139597523568827,17
0.12,0.4069742963669456,17
0.121,0.7892302271120609,17
0.122,1.156108874611442,17
0.123,1.5031731431838495,17
0.124,1.8262183392341127,17
0.125,2.121320343559644,17
0.126,2.3848805788466843,17
0.127,2.61366725956222,17
0.128,2.8048524538292656,17
0.129,2.95604453461708,17
0.13,3.0653156501395777,17
0.131,3.131223900136043,17
0.132,3.152829965060342,17
0.133,3.1297079984409573,17
0.134,3.0619506580729574,17
0.135,2.950168218519403,17
0.136,2.79548177487181,17
0.137,2.5995106150782394,17
0.138,2.364353904625456,17
0.139,2.092566892200658,17
0.14,1.7871319074195955,17
0.141,1.451424481079148,17
0.142,1.0891749739973848,17
0.143,0.7044261517084722,17
0.144,0.3014871885001419,17
0.145,-0.1151153750089629,17
0.146,-0.5406891618205483,17
0.147,-0.9704293887408432,17
0.148,-1.399473587833132,17
0.149,-1.8229569954452527,17
0.15,-2.2360679774997942,17
0.151,-2.6341028593111337,17
0.152,-3.01251953497131,17
0.153,-3.366989245247314,17
0.154,-3.693445933798574,17
0.155,-3.988132619116976,17
0.156,-4.247644253597425,17
0.157,-4.46896658117843,17
0.158,-4.649510550592114,17
0.159,-4.787141891912267,17
0.16,-4.88020551920991,17
0.161,-4.9275444810903455,17
0.162,-4.928513243021451,17
0.163,-4.882985149962007,17
0.164,-4.791353984124715,17
0.165,-4.654529600005269,17
0.166,-4.473927686309345,17
0.167,-4.251453771344273,17
0.168,-3.9894816540484848,17
0.169,-3.690826506361879,17
0.17,-3.3587129533696967,17
0.171,-2.996738494889399,17
0.172,-2.6088326852617385,17
0.173,-2.1992125364486386,17
0.174,-1.7723346525809935,17
0.175,-1.3328446413474628,17
0.176,-0.8855243786477718,17
0.177,-0.435237727395557,17
0.178,0.0131246710308431,17
0.179,0.4547009036285266,17
0.18,0.884712958446241,17
0.181,1.2985209344577069,17
0.182,1.69167567097376,17
0.183,2.0599691969559606,17
0.184,2.3994824254499094,17
0.185,2.706629549763213,17
