time,amp
0.002777778,-0.030747154
0.005555556,-0.129033464
0.008333333,-0.262771492
0.011111111,0.002566029999999997
0.013888889,-0.12115558999999998
0.016666667,-0.19977407400000002
0.019444444,-0.28310711200000005
0.022222222,-0.07817621699999999
0.025,-0.288808131
0.027777778,-0.12933474300000003
0.030555556,-0.21555074799999996
0.033333333,-0.270925423
0.036111111,-0.19388803199999993
0.038888889,-0.17380232
0.041666667,-0.03657496599999999
0.044444444,-0.251380444
0.047222222,-0.189936186
0.05,-0.137930493
0.052777778,-0.225017392
0.055555556,-0.16987456499999998
0.058333333,-0.16576350299999998
0.061111111,0.031048545999999955
0.063888889,-0.211505748
0.066666667,-0.24470168699999995
0.069444444,-0.12344680400000008
0.072222222,-0.21281506800000005
0.075,-0.23275266800000005
0.077777778,-0.31271678199999997
0.080555556,-0.21749579899999993
0.083333333,-0.14465137699999997
0.086111111,-0.28325514899999993
0.088888889,-0.23693657899999998
0.091666667,-0.12650385100000006
0.094444444,-0.20066190900000003
0.097222222,-0.26572903700000006
0.1,-0.207409027
0.102777778,-0.323137082
0.105555556,-0.343618635
0.108333333,-0.042248991000000014
0.111111111,-0.06392833200000003
0.113888889,-0.17582422799999997
0.116666667,-0.19227950299999996
0.119444444,-0.08326601199999994
0.122222222,-0.34177311099999996
0.125,-0.12853776400000005
0.127777778,-0.311162041
0.130555556,-0.16646232900000002
0.133333333,-0.167004253
0.136111111,-0.15779046499999994
0.138888889,-0.221529745
0.141666667,-0.216947618
0.144444444,-0.295662553
0.147222222,-0.327468
0.15,-0.082786608
0.152777778,-0.317920915
0.155555556,-0.07006050199999997
0.158333333,-0.13730061500000001
0.161111111,-0.16575704000000002
0.163888889,-0.21962535900000002
0.166666667,-0.09569935900000004
0.169444444,0.05924316399999996
0.172222222,-0.1188545190000001
0.175,0.01090109100000003
0.177777778,-0.08699853700000004
0.180555556,-0.11349718999999991
0.183333333,-0.007654916000000012
0.186111111,-0.08230709700000005
0.188888889,-0.08848034699999996
0.191666667,0.0012996690000000033
0.194444444,0.185500059
0.197222222,-0.015047694
0.2,0.193370139
0.202777778,-0.06083433099999999
0.205555556,-0.024844138999999987
