,time,amp
0.0,0.0,5
0.001,0.0314107590781282,5
0.002,0.0627905195293133,5
0.003,0.0941083133185143,5
0.004,0.1253332335643042,5
0.005,0.1564344650402308,5
0.006,0.1873813145857246,5
0.007,0.2181432413965425,5
0.008,0.2486898871648548,5
0.009,0.2789911060392293,5
0.01,0.3090169943749474,5
0.011,0.3387379202452913,5
0.012,0.368124552684678,5
0.013,0.3971478906347806,5
0.014,0.4257792915650726,5
0.015,0.4539904997395467,5
0.016,0.4817536741017153,5
0.017,0.5090414157503713,5
0.018,0.5358267949789967,5
0.019,0.5620833778521306,5
0.02,0.5877852522924731,5
0.021,0.6129070536529765,5
0.022,0.6374239897486896,5
0.023,0.6613118653236518,5
0.024,0.6845471059286887,5
0.025,0.7071067811865476,5
0.026,0.7289686274214116,5
0.027,0.7501110696304595,5
0.028,0.7705132427757893,5
0.029,0.7901550123756904,5
0.03,0.8090169943749475,5
0.031,0.8270805742745618,5
0.032,0.8443279255020151,5
0.033,0.8607420270039436,5
0.034,0.8763066800438637,5
0.035,0.8910065241883678,5
0.036,0.9048270524660196,5
0.037,0.917754625683981,5
0.038,0.9297764858882512,5
0.039,0.9408807689542256,5
0.04,0.9510565162951536,5
0.041,0.9602936856769432,5
0.042,0.9685831611286312,5
0.043,0.9759167619387474,5
0.044,0.9822872507286886,5
0.045,0.9876883405951378,5
0.046,0.992114701314478,5
0.047,0.99556196460308,5
0.048,0.9980267284282716,5
0.049,0.9995065603657316,5
0.05,1.0,5
0.051,0.9995065603657316,5
0.052,0.9980267284282716,5
0.053,0.99556196460308,5
0.054,0.992114701314478,5
0.055,0.9876883405951378,5
0.056,0.9822872507286888,5
0.057,0.9759167619387474,5
0.058,0.9685831611286312,5
0.059,0.9602936856769432,5
0.06,0.9510565162951536,5
0.061,0.9408807689542256,5
0.062,0.9297764858882516,5
0.063,0.9177546256839813,5
0.064,0.9048270524660196,5
0.065,0.8910065241883679,5
0.066,0.8763066800438635,5
0.067,0.8607420270039436,5
0.068,0.844327925502015,5
0.069,0.8270805742745617,5
0.07,0.8090169943749475,5
0.071,0.7901550123756903,5
0.072,0.7705132427757893,5
0.073,0.7501110696304596,5
0.074,0.7289686274214118,5
0.075,0.7071067811865476,5
0.076,0.6845471059286888,5
0.077,0.6613118653236518,5
0.078,0.6374239897486899,5
0.079,0.6129070536529764,5
0.08,0.5877852522924732,5
0.081,0.5620833778521305,5
0.082,0.5358267949789967,5
0.083,0.5090414157503711,5
0.084,0.4817536741017152,5
0.085,0.4539904997395468,5
0.086,0.4257792915650725,5
0.087,0.3971478906347806,5
0.088,0.3681245526846781,5
0.089,0.3387379202452917,5
0.09,0.3090169943749475,5
0.091,0.2789911060392295,5
0.092,0.2486898871648548,5
0.093,0.2181432413965427,5
0.094,0.1873813145857245,5
0.095,0.1564344650402309,5
0.096,0.1253332335643041,5
0.097,0.0941083133185143,5
0.098,0.0627905195293135,5
0.099,0.0314107590781282,5
0.1,1.2246467991473532e-16,5
0.101,-0.0314107590781284,5
0.102,-0.0627905195293133,5
0.103,-0.0941083133185145,5
0.104,-0.1253332335643042,5
0.105,-0.1564344650402307,5
0.106,-0.1873813145857243,5
0.107,-0.2181432413965425,5
0.108,-0.2486898871648545,5
0.109,-0.2789911060392293,5
0.11,-0.3090169943749473,5
0.111,-0.3387379202452915,5
0.112,-0.3681245526846779,5
0.113,-0.3971478906347804,5
0.114,-0.4257792915650726,5
0.115,-0.4539904997395466,5
0.116,-0.4817536741017154,5
0.117,-0.5090414157503712,5
0.118,-0.5358267949789968,5
0.119,-0.5620833778521306,5
0.12,-0.587785252292473,5
0.121,-0.6129070536529763,5
0.122,-0.6374239897486896,5
0.123,-0.6613118653236517,5
0.124,-0.6845471059286887,5
0.125,-0.7071067811865475,5
0.126,-0.7289686274214113,5
0.127,-0.7501110696304595,5
0.128,-0.7705132427757894,5
0.129,-0.7901550123756904,5
0.13,-0.8090169943749473,5
0.131,-0.8270805742745616,5
0.132,-0.8443279255020153,5
0.133,-0.8607420270039438,5
0.134,-0.8763066800438636,5
0.135,-0.8910065241883678,5
0.136,-0.9048270524660198,5
0.137,-0.9177546256839813,5
0.138,-0.9297764858882516,5
0.139,-0.9408807689542256,5
0.14,-0.9510565162951536,5
0.141,-0.9602936856769432,5
0.142,-0.9685831611286312,5
0.143,-0.9759167619387474,5
0.144,-0.9822872507286888,5
0.145,-0.9876883405951375,5
0.146,-0.9921147013144778,5
0.147,-0.99556196460308,5
0.148,-0.9980267284282716,5
0.149,-0.9995065603657316,5
0.15,-1.0,5
0.151,-0.9995065603657316,5
0.152,-0.9980267284282716,5
0.153,-0.99556196460308,5
0.154,-0.992114701314478,5
0.155,-0.9876883405951378,5
0.156,-0.9822872507286888,5
0.157,-0.9759167619387475,5
0.158,-0.9685831611286312,5
0.159,-0.9602936856769432,5
0.16,-0.9510565162951536,5
0.161,-0.9408807689542256,5
0.162,-0.9297764858882512,5
0.163,-0.917754625683981,5
0.164,-0.9048270524660196,5
0.165,-0.891006524188368,5
0.166,-0.8763066800438634,5
0.167,-0.8607420270039434,5
0.168,-0.844327925502015,5
0.169,-0.8270805742745618,5
0.17,-0.8090169943749476,5
0.171,-0.7901550123756901,5
0.172,-0.770513242775789,5
0.173,-0.7501110696304595,5
0.174,-0.7289686274214116,5
0.175,-0.707106781186547,5
0.176,-0.684547105928689,5
0.177,-0.6613118653236523,5
0.178,-0.6374239897486903,5
0.179,-0.6129070536529765,5
0.18,-0.5877852522924734,5
0.181,-0.5620833778521309,5
0.182,-0.5358267949789971,5
0.183,-0.509041415750372,5
0.184,-0.4817536741017153,5
0.185,-0.4539904997395469,5
0.186,-0.425779291565073,5
0.187,-0.3971478906347812,5
0.188,-0.3681245526846778,5
0.189,-0.3387379202452914,5
0.19,-0.3090169943749477,5
0.191,-0.2789911060392296,5
0.192,-0.2486898871648545,5
0.193,-0.2181432413965424,5
0.194,-0.1873813145857246,5
0.195,-0.1564344650402311,5
0.196,-0.1253332335643046,5
0.197,-0.094108313318514,5
0.198,-0.0627905195293132,5
0.199,-0.0314107590781283,5
0.2,-2.4492935982947064e-16,5
0.201,0.0314107590781287,5
0.202,0.0627905195293136,5
0.203,0.0941083133185144,5
0.204,0.1253332335643041,5
0.205,0.1564344650402315,5
0.206,0.187381314585725,5
0.207,0.2181432413965428,5
0.208,0.2486898871648548,5
0.209,0.2789911060392283,5
0.21,0.3090169943749472,5
0.211,0.338737920245291,5
0.212,0.3681245526846773,5
0.213,0.3971478906347799,5
0.214,0.4257792915650725,5
0.215,0.4539904997395465,5
0.216,0.4817536741017149,5
0.217,0.5090414157503708,5
0.218,0.5358267949789967,5
0.219,0.5620833778521305,5
0.22,0.5877852522924729,5
